UK Food,US Matches
"Curry, vegetable, West Indian","Bread, vegetable, toasted(62.96% match #51135010); "
"Curry, potato, Gujerati",
"Curry, potato, Punjabi",
"Curry, potato and pea",
"Curry, red kidney bean, Gujerati",
"Curry, red kidney and mung bean, whole",
"Curry, spinach","Cracker, snack(64.29% match #54301000); "
"Curry, spinach and potato",
"Curry, tinda gourd and potato",
"Curry, vegetable, frozen mixed vegetables",
"Flan, cheese, onion and potato",
"Curry, vegetable, Pakistani","Bread, vegetable, toasted(65.38% match #51135010); "
"Flan, cheese, onion and potato, wholemeal",
"Curry, vegetable, with yogurt","Bread, vegetable, toasted(62.96% match #51135010); "
Dal Dhokari,
"Dosa, plain","Nougat, plain(75.0% match #91726000); Halvah, plain(66.67% match #91716010); Toffee, plain(66.67% match #91760000); "
"Dosa, filling, vegetable","Dumpling, vegetable (72.73% match #58121620); Shortening, vegetable(66.67% match #81203100); "
"Falafel, fried in vegetable oil",
"Flan, cheese and mushroom",
"Flan, cheese and mushroom, wholemeal",
"Curry, green bean",
"Crumble, vegetable in tomato base, wholemeal",Noodles with vegetables in tomato-based sauce (diet frozen meal)(61.11% match #58302080); 
"Curry, vegetable, Islami","Bread, vegetable, toasted(61.22% match #51135010); Cucumber and vegetable namasu(60.38% match #75142000); "
"Curry, mung bean dahl, Bengali",
"Curry, karela",
"Curry, lentil, red/masoor dahl, with butter","Cod, coated, fried, made with butter(60.76% match #26109141); "
"Curry, lentil, red/masoor dahl, with vegetable oil",
"Curry, lentil, red/masoor dahl, Punjabi",
"Curry, lentil, red/masoor dahl and tomato, with butter",
"Curry, lentil, red/masoor dahl and tomato, with vegetable oil",
"Curry, lentil, red/masoor dahl and tomato, Punjabi",
"Curry, lentil, red/masoor dahl and mung bean dahl",
"Curry, lentil, red/masoor dahl and vegetable",
"Curry, lentil, whole/masoor, Punjabi",
"Curry, pigeon pea dahl with tomatoes and peanuts","Burrito with meat and beans(61.33% match #58100120); Pastry, filled with potatoes and peas, fried(60.87% match #58124500); "
"Curry, mung bean dahl and spinach",
"Curry, mung bean, whole, Gujerati",
"Curry, mung bean, whole, Punjabi",
"Curry, mung bean, whole and turnip leaves",
"Curry, okra","Currants, raw(66.67% match #63117010); Juneberry, raw(64.0% match #63126010); Celery, raw(63.64% match #75109000); "
"Curry, pea and potato","Bread, potato(64.71% match #51127010); "
"Curry, pigeon pea dahl, with butter",
"Curry, pigeon pea dahl, with vegetable oil","Cheese, processed, with vegetables(60.53% match #14410600); "
"Curry, pigeon pea dahl and tomato",
"Curry, lentil, whole/masoor, Gujerati",
"Flan, vegetable","Bread, vegetable(77.42% match #51135000); Dumpling, vegetable (74.29% match #58121620); Raw vegetable, NFS(66.67% match #75100250); "
"Vegetable kiev, baked","Vegetables, pickled(70.0% match #75515100); Vegetable oil, NFS(66.67% match #82101000); "
"Vegetable and cheese grill/burger, in crumbs, baked/grilled",
"Vegetables, stir-fried, takeaway","Vegetables, pickled, Hawaiian style(62.69% match #75515000); "
"Vegetarian sausages, baked/grilled","Vegetarian, fillet(61.54% match #41812600); "
"Beanburger, soya, fried in vegetable oil",
"Cannelloni, vegetable","Shortening, vegetable(66.67% match #81203100); "
"Casserole, vegetable","Bread, vegetable(66.67% match #51135000); Chinese preserved sweet vegetable(60.38% match #91408100); "
"Cauliflower cheese, made with semi-skimmed milk","Beer cheese soup, made with milk(63.29% match #14710200); "
"Salad, green","Salami, beef(66.67% match #25221530); Olives, green(64.0% match #75510010); "
"Curry, chick pea dahl",
"Salad, rice","Bread, rice(72.73% match #51806010); Seaweed, dried(64.0% match #75232000); Squid, dried(60.87% match #26213170); "
Garlic mushrooms (not coated),
Nut roast,
"Pancakes, stuffed with vegetables","Cheese, processed, with vegetables(68.66% match #14410600); Macaroni, creamed, with vegetables(68.66% match #58147350); Wrap sandwich, filled with vegetables(68.57% match #58200250); "
"Pasty, vegetable","Bread, vegetable(75.0% match #51135000); Pickles, NS as to vegetable(65.12% match #75511100); Shortening, vegetable(64.86% match #81203100); "
"Risotto, vegetable","Fajita with vegetables(65.0% match #58105075); Dumpling, vegetable (63.16% match #58121620); Pickles, NS as to vegetable(62.22% match #75511100); "
"Pie, vegetable","Bread, vegetable(80.0% match #51135000); Dumpling, vegetable (70.59% match #58121620); Shortening, vegetable(68.57% match #81203100); "
"Vegetable grill/burger, in crumbs, baked/grilled",
"Chilli, vegetable, homemade","Spaghetti sauce with vegetables, homemade-style(62.16% match #74404020); "
"Vegeburger mix, made up with water and egg, grilled",
"Vegeburger, retail, grilled",
Vegeburger mix,
"Vegeburger mix, made up with water","Cornmeal mush, made with water(62.5% match #56201510); "
"Vegeburger mix, made up with water, fried in sunflower oil",
"Vegeburger mix, made up with water, fried in vegetable oil",
"Vegeburger mix, made up with water, grilled",
"Vegeburger mix, made up with water and egg",
"Vegeburger mix, made up with water and egg, fried in sunflower oil",
Vegetable pancake roll,"Vegetables, pickled(68.29% match #75515100); Vegetable relish(63.16% match #75515010); "
"Bhaji, cabbage",
"biryani, vegetable, takeaway","Bread, vegetable, toasted(67.92% match #51135010); Biryani with vegetables(62.75% match #58160000); "
Vegetable bake,"Vegetable relish(73.33% match #75515010); Vegetables, pickled(72.73% match #75515100); Vegetable oil, NFS(62.5% match #82101000); "
Vegetable pate,Vegetable tempura(77.42% match #75440200); Vegetable chips(75.86% match #71220000); Vegetable relish(73.33% match #75515010); 
"Vegetable stir fry mix, fried in corn oil",
"Vegetable stir fry mix, fried in sunflower oil",
"Vegetable stir fry mix, fried in vegetable oil",
"Enchiladas, vegetable, takeaway","Bread, vegetable, toasted(64.29% match #51135010); "
"Protein substitute grill/burger, unbreaded, baked/grilled",
"Vegetable curry, Thai, takeaway",Vegetable curry(65.22% match #75440600); 
"Vegetable balti, takeaway","Vegetable oil, NFS(60.47% match #82101000); "
"Vegeburger mix, made up with water and egg, fried in vegetable oil",
"Bhaji, spinach",
"Bhaji, aubergine and potato",
"Bhaji, okra, Bangladeshi, with vegetable oil",Biryani with vegetables(62.69% match #58160000); Gelatin salad with vegetables(60.27% match #91501100); 
"Bhaji, okra, Islami",
"Bhaji, pea",
"Bhaji, potato, with butter ghee",
"Bhaji, potato, with vegetable oil","Fajita with vegetables(72.73% match #58105075); Biryani with vegetables(64.29% match #58160000); Cheese, processed, with vegetables(62.69% match #14410600); "
"Bhaji, potato and fenugreek leaves",
"Bhaji, potato and green pepper",
"Bhaji, mustard leaves and spinach",
"Bhaji, potato, onion and mushroom",
"Bhaji, mustard leaves",
"Bhaji, spinach and potato",
"Bhaji, turnip",
"Bhaji, turnip and onion",
"Bhaji, vegetable, with butter","Bread, vegetable, toasted(66.67% match #51135010); "
"Bhaji, vegetable, with vegetable oil","Fajita with vegetables(68.97% match #58105075); Lasagna, meatless, with vegetables(65.71% match #58130320); Macaroni, creamed, with vegetables(62.86% match #58147350); "
"Broccoli in cheese sauce, made with whole milk","Beer cheese soup, made with milk(71.79% match #14710200); Eggnog, made with whole milk(62.16% match #11531000); Cheese sauce made with lowfat cheese(60.98% match #14650150); "
"Broccoli in cheese sauce, made with semi-skimmed milk","Beer cheese soup, made with milk(65.88% match #14710200); "
"Broccoli in cheese sauce, made with skimmed milk","Beer cheese soup, made with milk(70.0% match #14710200); Bacon and cheese sandwich, with spread(60.47% match #27520120); "
"Bubble and squeak, fried in lard",
"Bhaji, potato and onion",
"Bhaji, cabbage and pea, with butter ghee",
"Cauliflower cheese, made with whole milk","Beer cheese soup, made with milk(69.44% match #14710200); Coffee, mocha, made with soy milk(63.01% match #92101960); "
"Aubergine, stuffed with rice","Celery, stuffed with cheese(69.09% match #75141500); "
"Aubergine, stuffed with vegetables, cheese topping",
Bean loaf,Veal loaf(77.78% match #25230810); Salmon loaf(70.0% match #27250080); Tuna loaf(66.67% match #27250150); 
"Beanburger, aduki, fried in vegetable oil",
"Beanburger, butter bean, fried in vegetable oil",
"Beanburger, red kidney bean, fried in vegetable oil",
"Vegeburger, retail, fried in vegetable oil",
"Bhaji, okra, Bangladeshi, with butter ghee",
"Samosas, vegetable, retail",
"Bubble and squeak, fried in vegetable oil",
"Bhaji, cabbage and pea, with vegetable oil","Cheese, cottage, with vegetables(62.16% match #14202020); Cheese, cottage, lowfat, with vegetables(60.98% match #14204030); Macaroni, creamed, with vegetables(60.53% match #58147350); "
"Bhaji, cabbage and potato, with butter",
"Bhaji, cabbage and potato, with vegetable oil","Cheese, cottage, lowfat, with vegetables(63.53% match #14204030); Macaroni, creamed, with vegetables(60.76% match #58147350); "
"Bhaji, carrot, potato and pea, with butter",
"Bhaji, carrot, potato and pea, with vegetable oil","Cheese, cottage, with vegetables(61.73% match #14202020); Cheese, cottage, lowfat, with vegetables(60.67% match #14204030); "
"Bhaji, cauliflower",
"Bhaji, cauliflower and potato",
"Bhaji, cauliflower and vegetable",Fajita with chicken and vegetables(63.64% match #58105000); Fajita with meat and vegetables(60.32% match #58105050); 
"Bhaji, mushroom","Gravy, mushroom(73.33% match #28500100); "
"Bhaji, aubergine, pea, potato and cauliflower",
"Lasagne, vegetable, retail","Wine, table, red(61.9% match #93401010); "
"Curry, mung bean dahl and tomato",
"Curry, red kidney bean, Punjabi",
"Curry, vegetable, retail, with rice",
"Curry, vegetable, takeaway","Bread, vegetable, toasted(66.67% match #51135010); "
"Flan, broccoli",Beef and broccoli(70.97% match #27415110); 
"Flan, broccoli, wholemeal",
"Flan, cauliflower cheese",Soybean curd cheese(60.47% match #41420050); 
"Flan, cauliflower cheese, wholemeal","Cracker, cheese, whole grain(60.32% match #54304150); "
"Nut croquettes, fried in vegetable oil",
"Lasagne, vegetable, wholemeal","Lasagna, meatless, whole wheat noodles(65.67% match #58130810); "
"Curry, gobi aloo sag, retail",
Laverbread,
Lentil roast,
"Lentil roast, with egg","Mixed nuts, roasted, with peanuts(61.82% match #42110100); Peanuts, roasted, without salt(61.54% match #42111110); "
Lentil and nut roast,
"Lentil and nut roast, with egg","Mixed nuts, roasted, with peanuts(63.49% match #42110100); Mixed nuts, roasted, without peanuts(60.61% match #42110150); "
"Moussaka, vegetable, retail",
"Mushroom Dopiaza, retail","Mushrooms, raw(63.16% match #75115000); Mushroom soup, NFS(61.9% match #75607000); "
"Soya mince, granules",
"Lasagne, spinach, wholemeal","Lasagna with meat, spinach noodles(65.57% match #58130910); Lasagna, meatless, spinach noodles(65.57% match #58130950); "
"Bhaji, vegetable, Punjabi, with butter",
"Bubble and squeak, fried in sunflower oil",Soybean and sunflower oil(60.61% match #82108250); 
Sauerkraut,
"Aubergine, stuffed with lentils and vegetables",Rabbit stew with potatoes and vegetables(67.44% match #27335100); Dressing with meat and vegetables(65.82% match #58128250); 
"Bhaji, cabbage and spinach",
"Bhaji, cauliflower, potato and pea, with butter",
"Bhaji, cauliflower, potato and pea, with vegetable oil",
"Bhaji, green bean","Peas, green, raw(60.61% match #75120000); "
"Bhaji, karela, with butter ghee",
"Curry, mung bean dahl, Punjabi",
"Bhaji, potato, spinach and cauliflower",
"Curry, lentil, red/masoor dahl, mung bean dahl and tomato",
"Bhaji, vegetable, Punjabi, with vegetable oil",
"Chilli, vegetable, retail","Dumpling, vegetable (62.22% match #58121620); "
"Coleslaw, with mayonnaise, retail","Potato salad, made with mayonnaise(62.69% match #71603010); "
"Coleslaw, with reduced calorie dressing, retail",
"Coleslaw, with vinaigrette, retail",
"Curry, black-eye bean, Punjabi",
"Curry, chick pea, whole and tomato, Punjabi, with butter",
"Curry, chick pea, whole and tomato, Punjabi, with vegetable oil",
"Nut cutlets, retail, fried in sunflower oil",
"Bhaji, karela, with vegetable oil","Fajita with vegetables(69.09% match #58105075); Macaroni, creamed, with vegetables(68.66% match #58147350); Biryani with vegetables(64.29% match #58160000); "
"Shepherd's pie, vegetable, retail",Shepherds pie with lamb(60.71% match #27330010); 
"Rissoles, rice, fried in sunflower oil",
"Rissoles, rice, fried in vegetable oil",
"Salad, bean, retail","Baked beans, vegetarian(61.9% match #41201020); "
"Salad, carrot and nut with French dressing, retail",
"Salad, carrot and nut with mayonnaise, retail","Egg salad, made with mayonnaise(63.16% match #32103000); Potato salad, made with mayonnaise(60.76% match #71603010); "
"Salad, Florida, retail",
"Salad, pasta, wholemeal","Bread, pita, whole wheat, 100%(60.38% match #51201150); "
"Salad, potato, with mayonnaise, retail","Egg salad, made with mayonnaise(66.67% match #32103000); Potato salad, made with mayonnaise(63.89% match #71603010); Egg salad, made with mayonnaise-type salad dressing(60.67% match #32103020); "
"Nut croquettes, fried in sunflower oil",
"Salad, Waldorf, retail",
"Ratatouille, retail",Ratatouille(73.33% match #75316050); 
"Tagliatelle, with vegetables, retail","Lasagna, meatless, with vegetables(65.71% match #58130320); Spaghetti sauce with vegetables, homemade-style(62.65% match #74404020); Gelatin salad with vegetables(61.54% match #91501100); "
"Tomatoes, stuffed with rice","Grape leaves stuffed with rice(73.68% match #58161510); Tomatoes, red, dried(68.09% match #74206000); Celery, stuffed with cheese(66.67% match #75141500); "
Vegebanger mix,
"Vegebanger mix, made up with water","Cornmeal mush, made with water(65.62% match #56201510); "
"Vegebanger mix, made up with water, fried in sunflower oil",
"Vegebanger mix, made up with water, fried in vegetable oil",
"Vegebanger mix, made up with water and egg",
"Vegebanger mix, made up with water and egg, fried in sunflower oil",
"Salad, potato, with reduced calorie dressing, retail",
"Pakora/bhajia, onion, retail",
"Nut cutlets, retail, fried in vegetable oil",
"Nut cutlets, retail, grilled",
"Nut roast, with egg","Tuna salad with egg(63.16% match #27450100); Mixed nuts, roasted, with peanuts(61.54% match #42110100); Peanuts, roasted, without salt(61.22% match #42111110); "
